Date,SPLG
2020-01-03,-0.006292152209658841
2020-01-06,0.003165887121098221
2020-01-07,-0.002630059355211989
2020-01-08,0.005273879755102184
2020-01-09,0.007345133749168786
2020-01-10,-0.0028641874374770726
2020-01-13,0.007573530483759416
2020-01-14,-0.0018144158105880548
2020-01-15,0.002077449129594955
2020-01-16,0.008810746744684073
2020-01-17,0.0025683668082812083
2020-01-21,-0.0017932830603543115
2020-01-22,0.0
2020-01-23,0.0017965047018038138
2020-01-24,-0.009479391814363525
2020-01-27,-0.01577892075669074
2020-01-28,0.010249507040480221
2020-01-29,-0.0007799744777005069
2020-01-30,0.0033841545817432372
2020-01-31,-0.0176440321989616
2020-02-03,0.007131711363147941
2020-02-04,0.014948954496398548
2020-02-05,0.011627900718208739
2020-02-06,0.0033202953331563645
2020-02-07,-0.005091283029837856
2020-02-10,0.007420751368531819
2020-02-11,0.0015237339014604334
2020-02-12,0.006593857770244904
2020-02-13,-0.0010076329243637883
2020-02-14,0.0015131840441351407
2020-02-18,-0.0025184427199055337
2020-02-19,0.004544558178180225
2020-02-20,-0.004021134329045828
2020-02-21,-0.01009337027133117
2020-02-24,-0.03364794276988903
2020-02-25,-0.029807023140541844
2020-02-26,-0.004078602666580888
2020-02-27,-0.0444990475107333
2020-02-28,-0.005428685728147253
2020-03-02,0.04452796787696123
2020-03-03,-0.028603077334840243
2020-03-04,0.04246879325751296
2020-03-05,-0.03394917540688269
2020-03-06,-0.016305697243855444
2020-03-09,-0.07745073538402591
2020-03-10,0.05080527158186432
2020-03-11,-0.04864352952764561
2020-03-12,-0.09730412473678918
2020-03-13,0.0937177374456073
2020-03-16,-0.11676084253822172
2020-03-17,0.06289980422042696
2020-03-18,-0.05249081590221716
2020-03-19,0.000705885915488702
2020-03-20,-0.0451341816302101
2020-03-23,-0.028332724775936957
2020-03-24,0.09525617806858677
2020-03-25,0.012923782791635086
2020-03-26,0.05827565007124069
2020-03-27,-0.029325408400121766
2020-03-30,0.03188993289634867
2020-03-31,-0.015940068922059014
2020-04-01,-0.04429766428047244
2020-04-02,0.022829626205598252
2020-04-03,-0.013865507024146573
2020-04-06,0.06755816013075422
2020-04-07,-0.00032119546399156373
2020-04-08,0.03470431180545841
2020-04-09,0.01490699371578108
2020-04-13,-0.009486001576662906
2020-04-14,0.029657025083169586
2020-04-15,-0.021302088878941472
2020-04-16,0.0052116700149384965
2020-04-17,0.026532485245969406
2020-04-20,-0.017231118075414553
2020-04-21,-0.03053204666988696
2020-04-22,0.02182717789783295
2020-04-23,-0.00030512094869372675
2020-04-24,0.014651917937586578
2020-04-27,0.014741208205722334
2020-04-28,-0.004743234896505966
2020-04-29,0.025915690313328854
2020-04-30,-0.009581646902152907
2020-05-01,-0.02638560875423368
2020-05-04,0.00361350247230785
2020-05-05,0.008700894302557938
2020-05-06,-0.007138500324057606
2020-05-07,0.011982793517875123
2020-05-08,0.01687440648755434
2020-05-11,0.0005820520146788688
2020-05-12,-0.02036659264701468
2020-05-13,-0.017522845323780123
2020-05-14,0.01209158875862193
2020-05-15,0.003584423007651827
2020-05-18,0.03125017321073775
2020-05-19,-0.010101064391724979
2020-05-20,0.016617912649145694
2020-05-21,-0.0071694673999722625
2020-05-22,0.002310827831162987
2020-05-26,0.013256641156742077
2020-05-27,0.014220664303500774
2020-05-28,-0.0016828219508223663
2020-05-29,0.003651717819817879
2020-06-01,0.004757806057897662
2020-06-02,0.008357055251924983
2020-06-03,0.013259578184877885
2020-06-04,-0.0029991173358820955
2020-06-05,0.025704136092236984
2020-06-08,0.012796614461249023
2020-06-09,-0.007633662629652038
2020-06-10,-0.005835400794783396
2020-06-11,-0.05789740845072289
2020-06-12,0.01274415693555131
2020-06-15,0.008948524889701437
2020-06-16,0.019124077493790637
2020-06-17,-0.004623348534770977
2020-06-18,0.0010929926911060761
2020-06-19,-0.005731325413476984
2020-06-22,0.006563678140862672
2020-06-23,0.004109900882711681
2020-06-24,-0.025102492759696116
2020-06-25,0.010355228793888838
2020-06-26,-0.023822203984361412
2020-06-29,0.0147558253877631
2020-06-30,0.013702382762640797
2020-07-01,0.006620622285538058
2020-07-02,0.00465889995185087
2020-07-06,0.01582128096909896
2020-07-07,-0.010472957314250353
2020-07-08,0.007869742167763594
2020-07-09,-0.005923352793153147
2020-07-10,0.010833976399723833
2020-07-13,-0.009378140741652441
2020-07-14,0.013795120679309658
2020-07-15,0.008537615319412328
2020-07-16,-0.0031746256628106817
2020-07-17,0.0026539466728912053
2020-07-20,0.00820529427992267
2020-07-21,0.0026254880205349718
2020-07-22,0.005498914466520288
2020-07-23,-0.012239722320411817
2020-07-24,-0.006327273090615204
2020-07-27,0.0071635896709476565
2020-07-28,-0.006059106484458288
2020-07-29,0.011926988548396356
2020-07-30,-0.0028810558332694747
2020-07-31,0.007617653895047427
2020-08-03,0.006777403271925442
2020-08-04,0.004143174950741013
2020-08-05,0.006188801138076627
2020-08-06,0.00640696331665902
2020-08-07,0.0007638948988877292
2020-08-10,0.0030534568790148153
2020-08-11,-0.008371392320958515
2020-08-12,0.013814267633256438
2020-08-13,-0.0015139113736074572
2020-08-14,0.0002529787466620803
2020-08-17,0.002778940006120001
2020-08-18,0.0025196477724220845
2020-08-19,-0.004021345578134938
2020-08-20,0.0030280306449590455
2020-08-21,0.0035219339463277155
2020-08-24,0.009777008245597463
2020-08-25,0.0034754902918325836
2020-08-26,0.010391072703264781
2020-08-27,0.001958776821090469
2020-08-28,0.006842869998658019
2020-08-31,-0.0036409517988336138
2020-09-01,0.00901361259318656
