Date,XLF
2020-01-03,-0.01061793064592842
2020-01-06,-0.0006502075111965988
2020-01-07,-0.006508311971401559
2020-01-08,0.0065509475819733876
2020-01-09,0.0061828583202150345
2020-01-10,-0.007438474332319589
2020-01-13,0.0068424642625510845
2020-01-14,-0.0019417037507771795
2020-01-15,-0.005512426813502946
2020-01-16,0.008803539411739614
2020-01-17,0.002908927387655913
2020-01-21,-0.008379026055557515
2020-01-22,0.0029248605198071154
2020-01-23,-0.002592523569883598
2020-01-24,-0.012670211784956864
2020-01-27,-0.015465843967114035
2020-01-28,0.011697975888193657
2020-01-29,-0.0016520673528775953
2020-01-30,0.012574547312919737
2020-01-31,-0.020914886089472562
2020-02-03,0.007009257917500067
2020-02-04,0.00961221546274249
2020-02-05,0.020026276854011593
2020-02-06,-0.0012872951726362603
2020-02-07,-0.0035450358090480805
2020-02-10,0.002910740233332376
2020-02-11,0.0035473224636719536
2020-02-12,0.0006427500080958826
2020-02-13,-0.00032137339984106283
2020-02-14,0.001285155582231079
2020-02-18,-0.008662387085297318
2020-02-19,0.007443358258516053
2020-02-20,-0.0019273577366509809
2020-02-21,-0.009655534948401101
2020-02-24,-0.03249925634747597
2020-02-25,-0.03392667120882953
2020-02-26,-0.00730201179943013
2020-02-27,-0.04273185645947197
2020-02-28,-0.027076505958768426
2020-03-02,0.051146980433371736
2020-03-03,-0.03756707115121627
2020-03-04,0.033085411744453674
2020-03-05,-0.048218640275948244
2020-03-06,-0.03402641625214353
2020-03-09,-0.10724090040266987
2020-03-10,0.05874636309024206
2020-03-11,-0.054244512276288126
2020-03-12,-0.10814347105068534
2020-03-13,0.13156604066817468
2020-03-16,-0.1370931820888187
2020-03-17,0.05429858207405269
2020-03-18,-0.08488313123015712
2020-03-19,0.02188634443405224
2020-03-20,-0.035696202915916686
2020-03-23,-0.05818350917069137
2020-03-24,0.12400885885003987
2020-03-25,0.027204095717123344
2020-03-26,0.06277594871766246
2020-03-27,-0.030456824642613234
2020-03-30,0.019038662631635006
2020-03-31,-0.027557110932006523
2020-04-01,-0.06099923042650568
2020-04-02,0.025063742856292537
2020-04-03,-0.019959882667269224
2020-04-06,0.07179209792820562
2020-04-07,0.009976571137439993
2020-04-08,0.04374411089865782
2020-04-09,0.05362761729087673
2020-04-13,-0.036355729078983545
2020-04-14,0.004438410780943869
2020-04-15,-0.04330537891251651
2020-04-16,-0.017552229004252906
2020-04-17,0.052656520017504205
2020-04-20,-0.0174181536696848
2020-04-21,-0.032272917927809175
2020-04-22,0.010803151150142076
2020-04-23,-0.00418206731806825
2020-04-24,0.014465699853476677
2020-04-27,0.034038548349323516
2020-04-28,0.01067627372810076
2020-04-29,0.029049170391555634
2020-04-30,-0.02523514888201317
2020-05-01,-0.03203181414600542
2020-05-04,-0.009065949372544457
2020-05-05,-0.0032022667774466163
2020-05-06,-0.021569509412085353
2020-05-07,0.02345194415177243
2020-05-08,0.021540147763332573
2020-05-11,-0.019291170569801896
2020-05-12,-0.02607507735869896
2020-05-13,-0.029591618982357293
2020-05-14,0.02565363460504866
2020-05-15,-0.006607037378293157
2020-05-18,0.05130633460638201
2020-05-19,-0.02440094385323155
2020-05-20,0.02223256209088409
2020-05-21,-0.0031716055238015795
2020-05-22,-0.003636594321607789
2020-05-26,0.05200722029160465
2020-05-27,0.04336501890364519
2020-05-28,-0.01579356479025984
2020-05-29,-0.011402317802672535
2020-06-01,0.011533830200096018
2020-06-02,0.008023635640066695
2020-06-03,0.037285226084105005
2020-06-04,0.021809331848833047
2020-06-05,0.037154037291613706
2020-06-08,0.019055189749260792
2020-06-09,-0.02131650137247576
2020-06-10,-0.03744748465695236
2020-06-11,-0.08177843601390011
2020-06-12,0.030263759823692782
2020-06-15,0.013848030759050056
2020-06-16,0.015728277522194967
2020-06-17,-0.015077345039519852
2020-06-18,-0.001241123663070609
2020-06-19,-0.006628075814413825
2020-06-22,-0.004952222904450743
2020-06-23,0.004639447104427541
2020-06-24,-0.03526450378601298
2020-06-25,0.026544966456657715
2020-06-26,-0.04281486754407604
2020-06-29,0.011071789897618034
2020-06-30,0.013578532375183361
2020-07-01,-0.008642896814385903
2020-07-02,0.0013075088613905272
2020-07-06,0.01915546434340154
2020-07-07,-0.020503893037204346
2020-07-08,0.01046664293158095
2020-07-09,-0.021147994188630115
2020-07-10,0.03439122699321895
2020-07-13,0.004262771303185753
2020-07-14,0.005093470392180555
2020-07-15,0.019847945476935358
2020-07-16,0.0
2020-07-17,-0.008281866775709412
2020-07-20,-0.004592606678216593
2020-07-21,0.019714738304199342
2020-07-22,0.0
2020-07-23,0.0008228651200066217
2020-07-24,-0.002466135198832098
2020-07-27,-0.008240744752786244
2020-07-28,-0.002492774374676321
2020-07-29,0.018742179706836115
2020-07-30,-0.017988420525963167
2020-07-31,0.0004162690467290897
2020-08-03,0.0029128452263833537
2020-08-04,-0.004149047210754042
2020-08-05,0.013749982979237574
2020-08-06,-0.0004113956420648268
2020-08-07,0.02138182460924165
2020-08-10,0.007246422645439621
2020-08-11,0.011590656005358468
2020-08-12,-0.0027657825945567316
2020-08-13,-0.006339286403463595
2020-08-14,0.003987341275217604
2020-08-17,-0.01667979076321513
2020-08-18,-0.006462180015104013
2020-08-19,-0.00040645466702016186
2020-08-20,-0.009353280910910478
2020-08-21,-0.0020525533813942065
2020-08-24,0.023858435143036205
2020-08-25,0.002812369071026888
2020-08-26,-0.004807611203390905
2020-08-27,0.01690826328317563
2020-08-28,0.003958677950510525
2020-08-31,-0.011829453650316402
2020-09-01,0.0027931230640174665
