Date,XLP
2020-01-03,-0.001600213049267607
2020-01-06,0.0020837605593739816
2020-01-07,-0.007678656151059449
2020-01-08,0.0037079121463163833
2020-01-09,0.007067155437153527
2020-01-10,-0.0006381080806618922
2020-01-13,0.006543279342645647
2020-01-14,0.0003171471725393893
2020-01-15,0.007132564380402773
2020-01-16,0.002675671230982557
2020-01-17,0.0017265777996680054
2020-01-21,0.0034471342085919954
2020-01-22,0.0007805813314682997
2020-01-23,-0.0009358146880604767
2020-01-24,-0.006871794914439344
2020-01-27,-0.003145466833777366
2020-01-28,0.0012621148077194277
2020-01-29,-0.0050416760752133305
2020-01-30,0.011876476048906293
2020-01-31,-0.01126746988688021
2020-02-03,0.0
2020-02-04,0.006014531201772089
2020-02-05,0.008023927415778731
2020-02-06,0.0017168762893366996
2020-02-07,0.0012462332485987382
2020-02-10,0.004201647888373294
2020-02-11,-0.0037189728329880545
2020-02-12,-0.00046683120787327503
2020-02-13,0.005913655410876517
2020-02-14,0.002320625187010261
2020-02-18,-0.00355009470023826
2020-02-19,-0.0010843279592764876
2020-02-20,0.000775478664222673
2020-02-21,0.001704511079700044
2020-02-24,-0.023047342908831148
2020-02-25,-0.018049379444569413
2020-02-26,-0.005643322285642793
2020-02-27,-0.04070056326123117
2020-02-28,-0.01977699420918766
2020-03-02,0.05345759882105661
2020-03-03,-0.013586519741269343
2020-03-04,0.04912050916115729
2020-03-05,-0.01882316626553515
2020-03-06,-0.00789930639381653
2020-03-09,-0.043548879245279726
2020-03-10,0.02871212319380767
2020-03-11,-0.04905041921665865
2020-03-12,-0.0939562819523787
2020-03-13,0.08510660917792778
2020-03-16,-0.06783275540980316
2020-03-17,0.08432829771877115
2020-03-18,-0.02569031222968421
2020-03-19,-0.033363131579152605
2020-03-20,-0.06476172236733091
2020-03-23,-0.029592853301893318
2020-03-24,0.050997231329254156
2020-03-25,-0.002739034044869859
2020-03-26,0.05473776963752308
2020-03-27,-0.0046502386955663555
2020-03-30,0.03905800202840681
2020-03-31,-0.02032357981044175
2020-04-01,-0.016889961128523368
2020-04-02,0.025583303859291195
2020-04-03,0.007829648392827737
2020-04-06,0.03721774396032451
2020-04-07,-0.011496370165920755
2020-04-08,0.01480201105222001
2020-04-09,0.009376630068356206
2020-04-13,-0.007397285122133779
2020-04-14,0.04246107470388871
2020-04-15,-0.015793939374380117
2020-04-16,0.006587873123580668
2020-04-17,0.01527092713455902
2020-04-20,-0.01966936150998344
2020-04-21,-0.021244291612463995
2020-04-22,0.009646763386622625
2020-04-23,-0.008872153861683607
2020-04-24,0.01067301837714063
2020-04-27,0.0028956871064824696
2020-04-28,0.0056044881462193885
2020-04-29,-0.004222057435419924
2020-04-30,-0.011872602943195698
2020-05-01,-0.010985296219063412
2020-05-04,-0.0005204315914609792
2020-05-05,0.0008681185308143657
2020-05-06,-0.010930091882424331
2020-05-07,-0.0028064434672859795
2020-05-08,0.02233942459380045
2020-05-11,-0.001376308531161996
2020-05-12,-0.008442315518800703
2020-05-13,-0.009035949462342319
2020-05-14,-0.0024546318585996207
2020-05-15,0.008788778653682883
2020-05-18,0.01585655858751056
2020-05-19,-0.018353397610963218
2020-05-20,0.011881821322168529
2020-05-21,-0.011051537450688653
2020-05-22,0.0034921851841123175
2020-05-26,0.00539392718555276
2020-05-27,0.015057443627072287
2020-05-28,0.008865950843176318
2020-05-29,0.0010141189274213147
2020-06-01,0.006922109342825333
2020-06-02,0.0026827587808826436
2020-06-03,0.0013377904214413316
2020-06-04,-0.004842928455790929
2020-06-05,0.013928274277584585
2020-06-08,0.010758184264601178
2020-06-09,-0.008187366523284889
2020-06-10,-0.0028067655475975117
2020-06-11,-0.03791376695380633
2020-06-12,0.0001719637577839439
2020-06-15,0.011528168551680373
2020-06-16,0.015648778399750984
2020-06-17,-0.001507384232100395
2020-06-18,0.005199783330028129
2020-06-19,-0.005172885446515063
2020-06-22,-0.002856521262960987
2020-06-23,-0.0015257841944490425
2020-06-24,-0.016808084267557644
2020-06-25,0.007079878690695374
2020-06-26,-0.020404685816810098
2020-06-29,0.018904138938394377
2020-06-30,0.007387307980982083
2020-07-01,0.0008527752859854854
2020-07-02,0.005111471582725846
2020-07-06,0.004915904504313895
2020-07-07,0.009109478572188134
2020-07-08,-0.0025077876216809125
2020-07-09,-0.007876384243827306
2020-07-10,0.018411953908479495
2020-07-13,-0.0014927396492286915
2020-07-14,0.014618038044756698
2020-07-15,0.0008185656802739416
2020-07-16,0.00212655870952716
2020-07-17,0.005386831237489842
2020-07-20,-0.01006656430888131
2020-07-21,0.008693054840035686
2020-07-22,0.007967315272149111
2020-07-23,0.0035488594752492997
2020-07-24,-0.0012858028213773576
2020-07-27,0.004989605282580856
2020-07-28,0.003683415948503299
2020-07-29,0.001436189860946735
2020-07-30,0.0
2020-07-31,-0.0009560402828752146
2020-08-03,-0.002711186796169107
2020-08-04,0.01247388715470299
2020-08-05,-0.0020533331415644174
2020-08-06,-0.0001584655710161753
2020-08-07,0.005382238370823744
2020-08-10,0.005196127391731364
2020-08-11,-0.006892242005338001
2020-08-12,0.012933828895455246
2020-08-13,-0.0007787468637783235
2020-08-14,-0.00015567973853447548
2020-08-17,0.005610801734932558
2020-08-18,0.004029854837562796
2020-08-19,-0.007872876494300685
2020-08-20,-0.002022594837826297
2020-08-21,0.0024946341477398715
2020-08-24,0.008553582901739354
2020-08-25,-0.0021588898657668443
2020-08-26,0.0012363300960089862
2020-08-27,0.006173949788667921
2020-08-28,0.008896872670619782
2020-08-31,-0.0028887525421354976
