Date,EWC
2020-01-03,-0.00500335995392065
2020-01-06,0.005028519446748092
2020-01-07,0.0010007005618208886
2020-01-08,-0.0009997001613077927
2020-01-09,0.0016679771248850894
2020-01-10,-0.000666165414391684
2020-01-13,0.005331520125084532
2020-01-14,0.0006630033148746772
2020-01-15,0.005299732023668069
2020-01-16,0.005271934047448079
2020-01-17,0.002294195496591156
2020-01-21,0.00032702204135559576
2020-01-22,-0.005230502119943137
2020-01-23,0.003943467905577203
2020-01-24,-0.004582454138834069
2020-01-27,-0.012495882331650221
2020-01-28,0.007658834314635543
2020-01-29,-0.005287401807720138
2020-01-30,0.0016610425895076109
2020-01-31,-0.015920361260776228
2020-02-03,-0.0016851879277925974
2020-02-04,0.013166711959930355
2020-02-05,0.007330849091514491
2020-02-06,0.004631245104285364
2020-02-07,-0.007902446405619101
2020-02-10,0.0033187773174050417
2020-02-11,0.006615953119578855
2020-02-12,0.005915412972319123
2020-02-13,-0.0035936463208131597
2020-02-14,0.00360660719147754
2020-02-18,-0.002940313318611998
2020-02-19,0.00851900719634946
2020-02-20,-0.0012995884659714463
2020-02-21,-0.0035784492216390795
2020-02-24,-0.023179824677923233
2020-02-25,-0.021056064718346645
2020-02-26,-0.009901173236535388
2020-02-27,-0.035862013253489144
2020-02-28,-0.013233172631387347
2020-03-02,0.021022190141336994
2020-03-03,-0.012069675358754584
2020-03-04,0.018325544375514813
2020-03-05,-0.01552574824672004
2020-03-06,-0.02150540357889963
2020-03-09,-0.12417581624567386
2020-03-10,0.02467588611697158
2020-03-11,-0.04408161859706372
2020-03-12,-0.13321952769440715
2020-03-13,0.10837463262608438
2020-03-16,-0.11377794037603528
2020-03-17,-0.019057271043461665
2020-03-18,-0.04805711799614065
2020-03-19,0.02094511371150909
2020-03-20,-0.013150737273290192
2020-03-23,-0.05916852545633422
2020-03-24,0.12861187423303178
2020-03-25,0.05823293733935486
2020-03-26,0.03320671854784707
2020-03-27,-0.05142337173038425
2020-03-30,0.026621449213232617
2020-03-31,0.030174750710215692
2020-04-01,-0.04851282550853808
2020-04-02,0.01827801213459601
2020-04-03,-0.0075577133415853925
2020-04-06,0.05188015544864766
2020-04-07,0.007239768934349744
2020-04-08,0.021563194259127005
2020-04-09,0.017590172540839832
2020-04-13,0.0025929993275044527
2020-04-14,0.009482705388082824
2020-04-15,-0.03501269798455209
2020-04-16,-0.0070797867204657194
2020-04-17,0.04188945074638828
2020-04-20,-0.005987949362961209
2020-04-21,-0.032272007804865055
2020-04-22,0.023566150429817467
2020-04-23,0.003909494918224121
2020-04-24,0.012981549589144992
2020-04-27,0.01665946158956011
2020-04-28,0.013445557042238487
2020-04-29,0.041044629696938895
2020-04-30,-0.03305455348333819
2020-05-01,-0.0222406512675265
2020-05-04,0.009267009128187897
2020-05-05,0.007095396393493658
2020-05-06,-0.00787410029964497
2020-05-07,0.008354229267629965
2020-05-08,0.017398379349461868
2020-05-11,0.003257350858861585
2020-05-12,-0.01988633376193183
2020-05-13,-0.02567276068387514
2020-05-14,0.005099769351402772
2020-05-15,0.0033826863214212466
2020-05-18,0.03708392515841652
2020-05-19,-0.008533139954824409
2020-05-20,0.01147535372577102
2020-05-21,-0.011750450643916444
2020-05-22,0.0
2020-05-26,0.03239044161552629
2020-05-27,0.009928505507596608
2020-05-28,-0.001966163032295132
2020-05-29,-0.00945615806190736
2020-06-01,0.02028638865961563
2020-06-02,0.017933567715620935
2020-06-03,0.0122558397003254
2020-06-04,-0.004918574170108547
2020-06-05,0.024334596921547602
2020-06-08,0.01262074083977649
2020-06-09,-0.009897532344108617
2020-06-10,-0.008515331775341917
2020-06-11,-0.0575055995825311
2020-06-12,0.01743254911240122
2020-06-15,0.008968777015047946
2020-06-16,0.012085740208404916
2020-06-17,-0.007319074031671535
2020-06-18,0.0019402254909566263
2020-06-19,-0.005034686231132346
2020-06-22,0.01050989212187603
2020-06-23,0.002311131812743339
2020-06-24,-0.023827769517485775
2020-06-25,0.01023612347478875
2020-06-26,-0.020264813813191895
2020-06-29,0.014319678458841967
2020-06-30,0.014901877586363632
2020-07-01,0.0015456813973024897
2020-07-02,0.00501542559882262
2020-07-06,0.00614197029036001
2020-07-07,-0.009538189355976279
2020-07-08,0.008089287983257698
2020-07-09,-0.010317205925082784
2020-07-10,0.010810923187066335
2020-07-13,-0.006111633074965983
2020-07-14,0.019216000977656522
2020-07-15,0.014328808567021678
2020-07-16,-0.0055760858677977865
2020-07-17,0.004859806270262723
2020-07-20,0.006324402003985208
2020-07-21,0.004805751541501202
2020-07-22,0.004783000735720355
2020-07-23,-0.010252605533559778
2020-07-24,-0.002589820223090622
2020-07-27,0.014836994512359647
2020-07-28,-0.004020575279075511
2020-07-29,0.013578077230871566
2020-07-30,-0.006517225790754644
2020-07-31,-0.004737526302529993
2020-08-03,0.002563190194906806
2020-08-04,0.014243799936434431
2020-08-05,0.011523336487333946
2020-08-06,0.003916014211456265
2020-08-07,-0.008865254091528496
2020-08-10,0.0067978153731032
2020-08-11,-0.0003551975305070565
2020-08-12,0.009242637432101297
2020-08-13,-0.0024655331989021922
2020-08-14,-0.002118911768475007
2020-08-17,0.013092880613017499
2020-08-18,-0.0010477992993790375
2020-08-19,-0.005244714037151987
2020-08-20,0.002811883873525156
2020-08-21,-0.0038556198538639563
2020-08-24,0.0028150761275205216
2020-08-25,0.003859529146072571
2020-08-26,0.013631505299897873
2020-08-27,-0.0017239052730024795
2020-08-28,-0.000690957933798475
2020-08-31,-0.007604693409165586
2020-09-01,0.006617866726485122
