Date,XLI
2020-01-03,-0.0019272291898443372
2020-01-06,0.0003620911400179505
2020-01-07,-0.002051006056010496
2020-01-08,0.0033850346836952205
2020-01-09,0.0042172708898713385
2020-01-10,-0.007079258634422381
2020-01-13,0.008217824106966809
2020-01-14,0.00011955679063002655
2020-01-15,0.001557966970538116
2020-01-16,0.009931947728447632
2020-01-17,0.00011848044953510772
2020-01-21,-0.011017475681147193
2020-01-22,-0.0052709920972238145
2020-01-23,0.010838082007837757
2020-01-24,-0.004645960638292035
2020-01-27,-0.018911059610349557
2020-01-28,0.006465823976207874
2020-01-29,0.005333099171687117
2020-01-30,0.0010857008990960981
2020-01-31,-0.02312429493872925
2020-02-03,-0.0003701685645420838
2020-02-04,0.018870403561875415
2020-02-05,0.016704988300749735
2020-02-06,0.003214987132871938
2020-02-07,-0.007240009788390678
2020-02-10,0.005618910665007304
2020-02-11,0.0038039943334342574
2020-02-12,0.009355919386946798
2020-02-13,-0.005632071718217224
2020-02-14,-0.0012976064492354888
2020-02-18,-0.005671231819454614
2020-02-19,-0.0003563554618365439
2020-02-20,-0.0014266268234512935
2020-02-21,-0.004999480113882515
2020-02-24,-0.028472101644612335
2020-02-25,-0.04075854134533796
2020-02-26,-0.007573946201319126
2020-02-27,-0.03712310732384194
2020-02-28,-0.018269516146851905
2020-03-02,0.03516674130973607
2020-03-03,-0.02445455668629437
2020-03-04,0.04132789344278476
2020-03-05,-0.04892655622130526
2020-03-06,-0.008756451837452328
2020-03-09,-0.09220170144863804
2020-03-10,0.05184739974780772
2020-03-11,-0.058687296594783445
2020-03-12,-0.10350134026362856
2020-03-13,0.07810893397270058
2020-03-16,-0.11344127779042623
2020-03-17,0.04605732237288973
2020-03-18,-0.07366807794819519
2020-03-19,0.0007397633733023934
2020-03-20,-0.05008284843530564
2020-03-23,-0.04380067210178007
2020-03-24,0.12651214212295625
2020-03-25,0.05260279488580433
2020-03-26,0.06311608708282623
2020-03-27,-0.042127549738672165
2020-03-30,0.014603522561450255
2020-03-31,-0.012385114607044168
2020-04-01,-0.04507698846616537
2020-04-02,0.013309742490226206
2020-04-03,-0.013309934949776947
2020-04-06,0.06922240621931652
2020-04-07,-0.0023239401984954666
2020-04-08,0.03627281319333209
2020-04-09,0.015093097900043206
2020-04-13,-0.029262951831302342
2020-04-14,0.019064809138628513
2020-04-15,-0.027662236360930348
2020-04-16,-0.008880020067594918
2020-04-17,0.04695529358167039
2020-04-20,-0.02662441010925376
2020-04-21,-0.023607937628396636
2020-04-22,0.010505055124291562
2020-04-23,0.007920941843244877
2020-04-24,0.008022168347436187
2020-04-27,0.024849908273622656
2020-04-28,0.01870041659722066
2020-04-29,0.019134912673083537
2020-04-30,-0.019844232130394435
2020-05-01,-0.030213265158338443
2020-05-04,-0.012686722982258702
2020-05-05,0.0039037479670724906
2020-05-06,-0.013771801200252565
2020-05-07,0.011664156821840077
2020-05-08,0.02484573391036138
2020-05-11,-0.01251805859577304
2020-05-12,-0.02808073619211393
2020-05-13,-0.02509497982407638
2020-05-14,0.010499560339838787
2020-05-15,-0.0035192443551388397
2020-05-18,0.06592656926291962
2020-05-19,-0.012780080343359868
2020-05-20,0.018699173116075274
2020-05-21,0.0023533748079245242
2020-05-22,-0.0007825948002744276
2020-05-26,0.0419797523259311
2020-05-27,0.03337346566299604
2020-05-28,-0.009456100149356494
2020-05-29,-0.006168355247660573
2020-06-01,0.002217008028387424
2020-06-02,0.012975469818553576
2020-06-03,0.039010068560225486
2020-06-04,0.010647377850934614
2020-06-05,0.03673405863574786
2020-06-08,0.02005626323201004
2020-06-09,-0.024904958932912558
2020-06-10,-0.023928117227431156
2020-06-11,-0.07023818829979478
2020-06-12,0.019404428926738992
2020-06-15,0.009881040130842234
2020-06-16,0.01956812306871103
2020-06-17,-0.007196902394100313
2020-06-18,-0.0036960646031645172
2020-06-19,-0.012269721880612705
2020-06-22,0.001682862270345531
2020-06-23,0.00014464671149228003
2020-06-24,-0.034757340208270704
2020-06-25,0.01110270771180688
2020-06-26,-0.01854858566405093
2020-06-29,0.03280926073896384
2020-06-30,0.00570919795982161
2020-07-01,-0.004512622879250916
2020-07-02,0.00862724650234914
2020-07-06,0.014351911435194653
2020-07-07,-0.01915128903452723
2020-07-08,0.0
2020-07-09,-0.021710356903123285
2020-07-10,0.012958194485119368
2020-07-13,0.0041168591651075115
2020-07-14,0.02167220622256072
2020-07-15,0.02551235375530414
2020-07-16,0.00027949185443709723
2020-07-17,0.006008262878754778
2020-07-20,-0.012222158764647273
2020-07-21,0.013216933207552017
2020-07-22,0.008048702804002827
2020-07-23,-0.003028619370999408
2020-07-24,-0.008008693716934134
2020-07-27,0.0041760299107853616
2020-07-28,-0.006931296498235873
2020-07-29,0.015215309711732017
2020-07-30,-0.010037133446289093
2020-07-31,-0.003749844723655249
2020-08-03,0.004181971591521894
2020-08-04,0.0024991238650879932
2020-08-05,0.019111078316074614
2020-08-06,0.0038046402669904555
2020-08-07,0.017057221343238727
2020-08-10,0.024623884963580922
2020-08-11,0.0053262362707489075
2020-08-12,0.0032300631825716852
2020-08-13,-0.00528064024552688
2020-08-14,0.003884363844626648
2020-08-17,-0.004643350135877022
2020-08-18,-0.005442531189242872
2020-08-19,-0.00260544821007358
2020-08-20,-0.005356261595938383
2020-08-21,0.0040714558540762
2020-08-24,0.018051047865097924
2020-08-25,-0.0012848062255803594
2020-08-26,0.0005145410536488981
2020-08-27,0.0036003606105527997
2020-08-28,0.009480936784991734
2020-08-31,-0.01243834069769123
2020-09-01,0.010153283899262622
