Date,XLC
2020-01-03,-0.00645035794694182
2020-01-06,0.013355333547447001
2020-01-07,0.0012816883451014505
2020-01-08,0.007129632357273374
2020-01-09,0.005264051174647566
2020-01-10,-0.0039724464538077875
2020-01-13,0.009427145463975828
2020-01-14,-0.0025142406835412245
2020-01-15,0.0048612028345422775
2020-01-16,0.007704885065892508
2020-01-17,0.00782347222173474
2020-01-21,-0.0008820956961889115
2020-01-22,-0.0005298954130577016
2020-01-23,-0.0040636177457690215
2020-01-24,-0.012063219273022341
2020-01-27,-0.015622011569899286
2020-01-28,0.011492052541606013
2020-01-29,-0.0016230797715265366
2020-01-30,-0.010115605674536732
2020-01-31,-0.016240785913865574
2020-02-03,0.011871656683076992
2020-02-04,0.010448954019019352
2020-02-05,0.0016330163992295255
2020-02-06,0.012497629514602648
2020-02-07,-0.000715609710643661
2020-02-10,0.0059076834139975
2020-02-11,-0.001067802903400139
2020-02-12,0.01300560890747704
2020-02-13,0.00017563392760044927
2020-02-14,0.0012310633429160056
2020-02-18,0.00667362696924112
2020-02-19,0.0045358098742329656
2020-02-20,-0.01024661187646525
2020-02-21,-0.01526565768836774
2020-02-24,-0.03349958017760668
2020-02-25,-0.02673323919736259
2020-02-26,-0.0018941917405548292
2020-02-27,-0.03947605434113122
2020-02-28,0.0029636739208873664
2020-03-02,0.034673067967285975
2020-03-03,-0.03293984796946048
2020-03-04,0.03603062039987304
2020-03-05,-0.03648808829778982
2020-03-06,-0.017356853276967787
2020-03-09,-0.06663983723803402
2020-03-10,0.050967605054578646
2020-03-11,-0.04297103813524039
2020-03-12,-0.09386330843045732
2020-03-13,0.08990015360983095
2020-03-16,-0.11279466007275118
2020-03-17,0.04343567429815831
2020-03-18,-0.03320858555159156
2020-03-19,0.01790022833773408
2020-03-20,-0.0442014137130704
2020-03-23,0.005310813233613487
2020-03-24,0.0615078639588571
2020-03-25,-0.015420466406810274
2020-03-26,0.05695281586783363
2020-03-27,-0.03996377899777137
2020-03-30,0.03648240312833284
2020-03-31,-0.001805084419307157
2020-04-01,-0.03978285287769423
2020-04-02,0.012711768639247945
2020-04-03,-0.020223245400739054
2020-04-06,0.06595515156055165
2020-04-07,0.007344668228818074
2020-04-08,0.021431963846098023
2020-04-09,0.00735432701803429
2020-04-13,0.0015034297935636598
2020-04-14,0.02958815288725347
2020-04-15,-0.009371344514342406
2020-04-16,0.0039940860132423595
2020-04-17,0.01360991264654765
2020-04-20,-0.009088891883602734
2020-04-21,-0.0314782224935487
2020-04-22,0.026904805981059265
2020-04-23,0.007126360731417591
2020-04-24,0.012695332910969359
2020-04-27,0.0082203578308373
2020-04-28,-0.018141320752739443
2020-04-29,0.04837046887537921
2020-04-30,-0.004356488444081541
2020-05-01,-0.013921930067891886
2020-05-04,0.005849159090710154
2020-05-05,0.005213339737771827
2020-05-06,-0.0027926055452881515
2020-05-07,0.01880381331736003
2020-05-08,0.018260355432832
2020-05-11,0.0005784030035127508
2020-05-12,-0.019464121771124332
2020-05-13,-0.017098974950516044
2020-05-14,0.01079759684971493
2020-05-15,0.013847808016478558
2020-05-18,0.021073011212325632
2020-05-19,-0.0001909158595347904
2020-05-20,0.027714037429110716
2020-05-21,-0.00706716183244005
2020-05-22,0.005993656245429024
2020-05-26,0.0027928504643643937
2020-05-27,0.007055277503305701
2020-05-28,-0.009402579412191248
2020-05-29,0.005397231336733865
2020-06-01,0.01147717994137154
2020-06-02,0.004026403135251044
2020-06-03,0.0030987478182524786
2020-06-04,-0.007450432526873496
2020-06-05,0.016294420574343604
2020-06-08,0.018735312492695444
2020-06-09,-0.002475708737424087
2020-06-10,-0.0030136024434691544
2020-06-11,-0.046052603383482826
2020-06-12,0.00876043361143819
2020-06-15,0.016075461059911644
2020-06-16,0.008183231807852964
2020-06-17,0.001262674477288117
2020-06-18,0.0032427309571061436
2020-06-19,-0.0026937697917492898
2020-06-22,0.002201181620737458
2020-06-23,0.006480714141529065
2020-06-24,-0.02253637551791776
2020-06-25,0.004391676897113728
2020-06-26,-0.044088033497422296
2020-06-29,0.018486655678932262
2020-06-30,0.011227483760355206
2020-07-01,0.024796395129210724
2020-07-02,-0.003250159405996267
2020-07-06,0.020108669640472865
2020-07-07,-0.002841355480845742
2020-07-08,0.008904492207971293
2020-07-09,0.0012358315133427222
2020-07-10,0.01727788250378315
2020-07-13,-0.02010411271776824
2020-07-14,0.009904609827747546
2020-07-15,0.005954300048529815
2020-07-16,0.0017411821724497845
2020-07-17,-0.0022593864554840692
2020-07-20,0.012018806239407764
2020-07-21,-0.004819195802005072
2020-07-22,0.0010376905775324463
2020-07-23,-0.016240623210157956
2020-07-24,-0.0015806625475562885
2020-07-27,0.006860287628288386
2020-07-28,-0.010307655898130097
2020-07-29,0.009179391032221096
2020-07-30,0.0027986132387189944
2020-07-31,0.013954363950231086
2020-08-03,0.00086001565821614
2020-08-04,0.00635954313217435
2020-08-05,-0.0015371977549106797
2020-08-06,0.026343009318239075
2020-08-07,-0.0011666970239971874
2020-08-10,-0.003337208581255857
2020-08-11,-0.014900360659095835
2020-08-12,0.01189650139853038
2020-08-13,0.005038905657559489
2020-08-14,-0.00016735589873262402
2020-08-17,0.001170146215006218
2020-08-18,0.00901491502813112
2020-08-19,-0.0028126949091641373
2020-08-20,0.012443917858541376
2020-08-21,-0.004424791261582572
2020-08-24,0.012181209623779221
2020-08-25,0.009432487308188575
2020-08-26,0.03415478466161437
2020-08-27,-0.012151404400312371
2020-08-28,0.002365781913082232
2020-08-31,-0.0047200179485822336
2020-09-01,0.008220049691542997
