Date,XLK
2020-01-03,-0.011243071901071877
2020-01-06,0.0023821690585208444
2020-01-07,-0.00043223412878390377
2020-01-08,0.010700773485759152
2020-01-09,0.011335689499358814
2020-01-10,-0.002326335836589144
2020-01-13,0.012506358805279172
2020-01-14,-0.004710532394103906
2020-01-15,0.0011570556224373973
2020-01-16,0.013446896399822661
2020-01-17,0.006737709238721523
2020-01-21,-0.0004118571246409797
2020-01-22,0.003605214027154524
2020-01-23,0.004721410673736992
2020-01-24,-0.004699223708760192
2020-01-27,-0.02381195626948951
2020-01-28,0.01913565629456926
2020-01-29,0.002579173740934637
2020-01-30,0.008643825828671625
2020-01-31,-0.02744342912430442
2020-02-03,0.013217397215877336
2020-02-04,0.026193004935025854
2020-02-05,0.005851794302908164
2020-02-06,0.00912726106948103
2020-02-07,-0.0091445188094188
2020-02-10,0.01354229867399459
2020-02-11,-0.0033652449334381496
2020-02-12,0.010824293640725458
2020-02-13,-0.002652550409528831
2020-02-14,0.004334311805935354
2020-02-18,-0.003726950326156331
2020-02-19,0.011911762093232081
2020-02-20,-0.010409752016369622
2020-02-21,-0.022414388431800214
2020-02-24,-0.041331473220767245
2020-02-25,-0.03199413801609974
2020-02-26,0.004551272897062475
2020-02-27,-0.05393728883834348
2020-02-28,0.0076398494400462535
2020-03-02,0.057825120799342766
2020-03-03,-0.037976282284267304
2020-03-04,0.04292247762782919
2020-03-05,-0.03155994789195993
2020-03-06,-0.02113815940405961
2020-03-09,-0.07591977178484255
2020-03-10,0.06669937713118745
2020-03-11,-0.047238958589092106
2020-03-12,-0.0976049603884549
2020-03-13,0.11731942172543719
2020-03-16,-0.13813992509123518
2020-03-17,0.06808167917903418
2020-03-18,-0.037677318451758146
2020-03-19,0.003620099191642634
2020-03-20,-0.0458248879530434
2020-03-23,-0.009134487206641784
2020-03-24,0.10241459613337756
2020-03-25,-0.0012885206820266726
2020-03-26,0.061927656891382465
2020-03-27,-0.04519500280058608
2020-03-30,0.042117147301177216
2020-03-31,-0.0186813300297185
2020-04-01,-0.04765451408038135
2020-04-02,0.023386671209076892
2020-04-03,-0.015447652699998038
2020-04-06,0.08532155615665538
2020-04-07,-0.008960522224135126
2020-04-08,0.026883657193162547
2020-04-09,0.00023474558814595703
2020-04-13,0.0022302152681246135
2020-04-14,0.04192508727813227
2020-04-15,-0.02180491296392939
2020-04-16,0.01217924527955927
2020-04-17,0.013282414647856955
2020-04-20,-0.016020953406828187
2020-04-21,-0.041899057397486006
2020-04-22,0.03850241681939792
2020-04-23,-0.006865371536008191
2020-04-24,0.021200469056045446
2020-04-27,0.008575171641174384
2020-04-28,-0.013312663901161592
2020-04-29,0.04104325406248943
2020-04-30,-0.004465237728026095
2020-05-01,-0.02745854682076343
2020-05-04,0.013273308484735846
2020-05-05,0.013765010194433769
2020-05-06,0.007775082932179211
2020-05-07,0.014995128698679805
2020-05-08,0.014666565187453351
2020-05-11,0.00664703460781757
2020-05-12,-0.020647900348961246
2020-05-13,-0.017230131018163952
2020-05-14,0.012740842562853016
2020-05-15,0.005053602834794724
2020-05-18,0.02450003837174397
2020-05-19,-0.0036549218500483427
2020-05-20,0.02190527156751254
2020-05-21,-0.013948862871467127
2020-05-22,0.003640808527067607
2020-05-26,-0.0010365637848511744
2020-05-27,0.005706147319956001
2020-05-28,-0.0019600407828079813
2020-05-29,0.01260978585161232
2020-06-01,-0.0003060678563351349
2020-06-02,0.009393489708189318
2020-06-03,0.007788784802031046
2020-06-04,-0.008230656024233785
2020-06-05,0.02631327553698659
2020-06-08,0.005029092525640433
2020-06-09,0.0047095648312618366
2020-06-10,0.016699310337519035
2020-06-11,-0.05734307645674552
2020-06-12,0.012940712372532692
2020-06-15,0.009656790326000975
2020-06-16,0.021321222248632754
2020-06-17,-0.00019513809581339636
2020-06-18,0.004488040106486624
2020-06-19,-0.006896595554349294
2020-06-22,0.018840798003975534
2020-06-23,0.0072199787880185
2020-06-24,-0.022555692226914892
2020-06-25,0.012809360692046079
2020-06-26,-0.01969496174557528
2020-06-29,0.010931747770949407
2020-06-30,0.017925070339384064
2020-07-01,0.0016266928407770997
2020-07-02,0.005828519190275161
2020-07-06,0.017478945278207814
2020-07-07,-0.010456500658615475
2020-07-08,0.01632229884850367
2020-07-09,0.003620542502980939
2020-07-10,-0.00027770239650615203
2020-07-13,-0.020725607562671167
2020-07-14,0.011526926434629603
2020-07-15,0.005417656482286981
2020-07-16,-0.01235601649923146
2020-07-17,0.004891441963798204
2020-07-20,0.025554715371143955
2020-07-21,-0.010040300065830454
2020-07-22,0.008021586929870983
2020-07-23,-0.02597663664586869
2020-07-24,-0.012113822316757505
2020-07-27,0.015779709148691534
2020-07-28,-0.011697622141755293
2020-07-29,0.014487160631643237
2020-07-30,0.005600173848694379
2020-07-31,0.024967455653203796
2020-08-03,0.02463106294870787
2020-08-04,0.002563032195217474
2020-08-05,0.0037024275966830444
2020-08-06,0.014052241562277912
2020-08-07,-0.01489698956181107
2020-08-10,-0.0028133439279721673
2020-08-11,-0.0179862111233714
2020-08-12,0.022714802911047327
2020-08-13,0.0004390381397356702
2020-08-14,-0.0007019432789612257
2020-08-17,0.006673739242742505
2020-08-18,0.0037509208114954173
2020-08-19,-0.0012167757668830603
2020-08-20,0.013312495460783946
2020-08-21,0.012708176284634831
2020-08-24,0.008648449235210132
2020-08-25,0.005043667459217804
2020-08-26,0.020324600209631116
2020-08-27,0.0008198516152719826
2020-08-28,0.008763837878873248
2020-08-31,0.0031667170504654507
2020-09-01,0.019101592445561977
