Date,XLE
2020-01-03,-0.0029713473143396785
2020-01-06,0.007781527876048688
2020-01-07,-0.002628525320433117
2020-01-08,-0.016471779905102846
2020-01-09,0.007369077364742571
2020-01-10,-0.0056524150800856265
2020-01-13,0.0003340831190652427
2020-01-14,0.00016714868535361305
2020-01-15,-0.007352824401779756
2020-01-16,0.0016834225379904755
2020-01-17,-0.00638654974865227
2020-01-21,-0.017929304149574166
2020-01-22,-0.0096457627155635
2020-01-23,-0.0038258574191536443
2020-01-24,-0.011522588367382625
2020-01-27,-0.027728318376730066
2020-01-28,0.0045412892402951766
2020-01-29,-0.010488245867537715
2020-01-30,0.008040806634997066
2020-01-31,-0.03118200147372474
2020-02-03,-0.013099008201665319
2020-02-04,0.0036028538587147274
2020-02-05,0.03759678944832956
2020-02-06,-0.010196809570312881
2020-02-07,-0.006990339970739057
2020-02-10,-0.005001744290608179
2020-02-11,0.011171213973367955
2020-02-12,0.013441134487530482
2020-02-13,-0.0030888189517690456
2020-02-14,-0.005285043556777613
2020-02-18,-0.008244748532267754
2020-02-19,0.013301623358061176
2020-02-20,-0.0010941250531446567
2020-02-21,-0.011863543366990914
2020-02-24,-0.04617657069284664
2020-02-25,-0.044151973297830605
2020-02-26,-0.03018603874603465
2020-02-27,-0.053478212621520305
2020-02-28,-0.0008831744458298596
2020-03-02,0.04042423387056404
2020-03-03,-0.03057313979477938
2020-03-04,0.023652894627887777
2020-03-05,-0.03658513442695022
2020-03-06,-0.05618467719155085
2020-03-09,-0.2014118701767008
2020-03-10,0.047436749696103675
2020-03-11,-0.052883254044061356
2020-03-12,-0.12474025639422315
2020-03-13,0.09229711861630485
2020-03-16,-0.13606702807176352
2020-03-17,0.006832244964730894
2020-03-18,-0.14357143969851582
2020-03-19,0.06797307887411885
2020-03-20,0.009761830183070863
2020-03-23,-0.06815861849248717
2020-03-24,0.1603735635670862
2020-03-25,0.04716633782212454
2020-03-26,0.06110336142803807
2020-03-27,-0.0677852845881447
2020-03-30,0.01023657687065671
2020-03-31,0.015373579036555451
2020-04-01,-0.049552519184369204
2020-04-02,0.09160024196798333
2020-04-03,-0.010613683913787697
2020-04-06,0.05296686735315714
2020-04-07,0.021330809010164264
2020-04-08,0.06670828765018055
2020-04-09,-0.009059147878995866
2020-04-13,-0.003243821497390109
2020-04-14,-0.004733871679724833
2020-04-15,-0.046967735462877025
2020-04-16,-0.0427322062637544
2020-04-17,0.10622327662583109
2020-04-20,-0.0312223877640051
2020-04-21,-0.017634532279007464
2020-04-22,0.03559287450568216
2020-04-23,0.03227732483863188
2020-04-24,0.002315811235714449
2020-04-27,0.02166380429324355
2020-04-28,0.022901008725522365
2020-04-29,0.07407421314812357
2020-04-30,-0.02213105684722061
2020-05-01,-0.056578903710591044
2020-05-04,0.03458848816641913
2020-05-05,0.0008091090604598339
2020-05-06,-0.026131438809637864
2020-05-07,0.026002465719230372
2020-05-08,0.04556515891946833
2020-05-11,-0.01753485084101869
2020-05-12,-0.017585256175305264
2020-05-13,-0.04541805554520806
2020-05-14,0.0111948786208651
2020-05-15,-0.0038749150327624937
2020-05-18,0.0816893592038963
2020-05-19,-0.02799879854713838
2020-05-20,0.039904541617478806
2020-05-21,-0.016009912190186548
2020-05-22,-0.006198473271165406
2020-05-26,0.02780661583282007
2020-05-27,0.012895266307919817
2020-05-28,-0.027958373280382864
2020-05-29,-0.0046221784136629696
2020-06-01,0.01754377550195274
2020-06-02,0.027890557240667135
2020-06-03,0.02935342208291858
2020-06-04,0.00023954312033191982
2020-06-05,0.07426947708965304
2020-06-08,0.04504929259662238
2020-06-09,-0.03755880388735089
2020-06-10,-0.04922404080950593
2020-06-11,-0.09421611945820396
2020-06-12,0.02523159032000999
2020-06-15,0.0030137120606721357
2020-06-16,0.028792609510792433
2020-06-17,-0.034070971092021396
2020-06-18,0.012345404703973939
2020-06-19,-0.015181505387467986
2020-06-22,0.004632732207924262
2020-06-23,0.0010189462854326425
2020-06-24,-0.055484820007678515
2020-06-25,0.01913210822635114
2020-06-26,-0.03463741190674918
2020-06-29,0.013420732000902547
2020-06-30,0.0229728400112168
2020-07-01,-0.02430609914032955
2020-07-02,0.011101992470717637
2020-07-06,0.00294585978229267
2020-07-07,-0.03177578972906847
2020-07-08,-0.0008272752795972504
2020-07-09,-0.04940669345472337
2020-07-10,0.03193989921980278
2020-07-13,-0.005346414117065268
2020-07-14,0.03507788558097391
2020-07-15,0.021590820293343915
2020-07-16,-0.00454812355278178
2020-07-17,-0.013974732908810572
2020-07-20,-0.01662553325962912
2020-07-21,0.06042103771945717
2020-07-22,-0.012284249416251947
2020-07-23,-0.0018524678835198927
2020-07-24,-0.005567530505969587
2020-07-27,0.001066526872179674
2020-07-28,-0.017043868210179558
2020-07-29,0.02086170107838714
2020-07-30,-0.039278133955289896
2020-07-31,-0.004696117512149822
2020-08-03,0.0036080043472921375
2020-08-04,0.024336452074691817
2020-08-05,0.01052880159833558
2020-08-06,-0.008014601151355882
2020-08-07,0.001346548428653005
2020-08-10,0.030930548849940953
2020-08-11,-0.003391566834255788
2020-08-12,0.009947572215646128
2020-08-13,-0.019440131626380475
2020-08-14,0.00951611373154626
2020-08-17,-0.005760403023017724
2020-08-18,-0.012641904413300042
2020-08-19,-0.011469522081067773
2020-08-20,-0.021586679865070457
2020-08-21,-0.006342898107488559
2020-08-24,0.0274770944203655
2020-08-25,-0.014046517109472911
2020-08-26,-0.021095907120911472
2020-08-27,0.0019593371514139424
2020-08-28,0.01787701197894287
2020-08-31,-0.02167943275345474
