Date,XLY
2020-01-03,-0.008510189982336103
2020-01-06,0.0027817030117640584
2020-01-07,-0.0015848810932604929
2020-01-08,0.0030162959516670806
2020-01-09,0.005302054384309862
2020-01-10,-0.005431657329733719
2020-01-13,0.0031661286790019005
2020-01-14,-0.00031560094531024596
2020-01-15,-0.0022887343101872792
2020-01-16,0.008938968696139638
2020-01-17,0.003528271518399295
2020-01-21,-0.0030470259212020956
2020-01-22,-0.0004702736011104047
2020-01-23,0.0014897327977594355
2020-01-24,-0.013935640721674414
2020-01-27,-0.014926665950042106
2020-01-28,0.009752736381247962
2020-01-29,-0.0005587061154646022
2020-01-30,-0.0016773754250576367
2020-01-31,0.002560209721217177
2020-02-03,0.0071018479708178095
2020-02-04,0.01822325820615056
2020-02-05,0.005058098490298812
2020-02-06,-0.0022452670994640433
2020-02-07,-0.004345447021355642
2020-02-10,0.011300767428380931
2020-02-11,0.007860521624326156
2020-02-12,0.010246396252993062
2020-02-13,-0.001740779320910435
2020-02-14,-0.0015165695540685364
2020-02-18,-7.590408645197222e-05
2020-02-19,0.0044804463961722885
2020-02-20,0.0003783410964062206
2020-02-21,-0.015266162830750551
2020-02-24,-0.03438205465516808
2020-02-25,-0.02670489469644377
2020-02-26,-0.007921102125806434
2020-02-27,-0.0404145378560723
2020-02-28,-0.006433608785044398
2020-03-02,0.03436076173535074
2020-03-03,-0.024205013416787935
2020-03-04,0.03455647736056
2020-03-05,-0.037288211977236085
2020-03-06,-0.015372545909599244
2020-03-09,-0.0629745032669009
2020-03-10,0.05529200305891524
2020-03-11,-0.054688171702407806
2020-03-12,-0.101054518484478
2020-03-13,0.061864429696051104
2020-03-16,-0.12668646007521767
2020-03-17,0.03850487485025167
2020-03-18,-0.057447657220140225
2020-03-19,0.034876929380480926
2020-03-20,-0.02972360787781636
2020-03-23,0.0016475419555852522
2020-03-24,0.09379652804466865
2020-03-25,0.017547544788520497
2020-03-26,0.041367348444445895
2020-03-27,-0.03351390038111968
2020-03-30,0.020907445623190135
2020-03-31,-0.020179633966208144
2020-04-01,-0.04465763730599448
2020-04-02,0.003735397376776417
2020-04-03,-0.017437579103845136
2020-04-06,0.08321611284933605
2020-04-07,0.014885050120355015
2020-04-08,0.03149914209391902
2020-04-09,0.01803608511153998
2020-04-13,-0.00028093611772905813
2020-04-14,0.03909961486649727
2020-04-15,-0.021927454166849047
2020-04-16,0.011993883499911595
2020-04-17,0.02953766836871674
2020-04-20,-0.01744433157234493
2020-04-21,-0.025955449729972213
2020-04-22,0.021558387228009845
2020-04-23,-0.0002718786249429339
2020-04-24,0.01694156785169465
2020-04-27,0.01870817044966122
2020-04-28,0.003935222100419411
2020-04-29,0.022038277674210294
2020-04-30,-0.006221832900627056
2020-05-01,-0.03739286051962232
2020-05-04,0.005434987328478913
2020-05-05,0.0036330978351342136
2020-05-06,-0.00017657415293881318
2020-05-07,0.015718790765576696
2020-05-08,0.01947515124529864
2020-05-11,-0.0022174321666105223
2020-05-12,-0.02188037777735352
2020-05-13,-0.017214297245684573
2020-05-14,0.014937262433870169
2020-05-15,0.011651364202513781
2020-05-18,0.03784214123848684
2020-05-19,-0.0035879665143536688
2020-05-20,0.013063283109788104
2020-05-21,0.003554255727192812
2020-05-22,-0.0014826212349207113
2020-05-26,0.01583769167553739
2020-05-27,0.0171336722592641
2020-05-28,-0.012134914809262876
2020-05-29,0.0036367919334430177
2020-06-01,0.009501507596176628
2020-06-02,0.00853488802107294
2020-06-03,0.018902012508724697
2020-06-04,-0.0050453200153710576
2020-06-05,0.023950642807653244
2020-06-08,0.015238205565561103
2020-06-09,-0.007804763689631566
2020-06-10,-0.009378870441066556
2020-06-11,-0.05237868716763039
2020-06-12,0.009910315711423534
2020-06-15,0.009494143384827014
2020-06-16,0.021022800312681778
2020-06-17,-0.0026316234706802444
2020-06-18,-0.003647647797125453
2020-06-19,-0.007789586407702664
2020-06-22,0.010276897965236564
2020-06-23,0.007866589388271228
2020-06-24,-0.022024650264114376
2020-06-25,0.0013431268750838665
2020-06-26,-0.023437362614173063
2020-06-29,0.01898986663888369
2020-06-30,0.012767593569745106
2020-07-01,0.010101138514035268
2020-07-02,0.003953285611096646
2020-07-06,0.023704847711596644
2020-07-07,-0.015688694501705402
2020-07-08,0.010651286543587712
2020-07-09,-0.001137043866974996
2020-07-10,0.011917421757900337
2020-07-13,-0.01267728961077641
2020-07-14,0.009952716163105002
2020-07-15,0.014293346974326715
2020-07-16,-0.0026700379875679303
2020-07-17,-0.004685342142309978
2020-07-20,0.015989359297003736
2020-07-21,0.0015446721744678538
2020-07-22,0.008590704022120255
2020-07-23,-0.014996850379831672
2020-07-24,0.0017739593032866097
2020-07-27,0.006197216906936864
2020-07-28,-0.0098986408217977
2020-07-29,0.010145660268909173
2020-07-30,-0.0008066002116158266
2020-07-31,0.005209293808071447
2020-08-03,-0.002116534775850276
2020-08-04,0.008046315330612952
2020-08-05,0.012190854023916176
2020-08-06,0.004874803030913366
2020-08-07,0.001498157367503694
2020-08-10,0.011967216609307885
2020-08-11,-0.001971117393419153
2020-08-12,0.013260142388907159
2020-08-13,-0.00041726650111184593
2020-08-14,-6.983208487232329e-05
2020-08-17,0.012884032621177433
2020-08-18,0.006187974965739196
2020-08-19,-0.004715036113006388
2020-08-20,-0.0015104208217536774
2020-08-21,0.005157055533404176
2020-08-24,0.015187189253339062
2020-08-25,0.0033014408569074227
2020-08-26,0.009873442134055832
2020-08-27,-0.00538737868579342
2020-08-28,0.006553067672033119
2020-08-31,-0.0029231207814388593
