Date,XLB
2020-01-03,-0.016144848379745058
2020-01-06,-0.004353644866517792
2020-01-07,-0.0011772937864265032
2020-01-08,0.0035360443222889337
2020-01-09,0.003691220482151092
2020-01-10,-0.00401189875771224
2020-01-13,0.012923571436275871
2020-01-14,-0.004142431608987307
2020-01-15,0.0068218725361459676
2020-01-16,0.005949439218959407
2020-01-17,0.004435812722861421
2020-01-21,-0.010794947502078545
2020-01-22,-0.003968118193477643
2020-01-23,-0.0011621209176146952
2020-01-24,-0.007146529742364738
2020-01-27,-0.0215933370205178
2020-01-28,0.011291607327846176
2020-01-29,0.0032143808971780707
2020-01-30,-0.006239390741845208
2020-01-31,-0.022060185092624418
2020-02-03,0.02099595853279057
2020-02-04,0.017675101425498108
2020-02-05,0.018536939689568266
2020-02-06,-0.0004918671225393467
2020-02-07,-0.014271517477184914
2020-02-10,-0.0004993053004148651
2020-02-11,0.005494531363020361
2020-02-12,0.005464364571722724
2020-02-13,-0.003622923553815216
2020-02-14,0.00016500030521515718
2020-02-18,-0.0024787736991270792
2020-02-19,0.002650813177010214
2020-02-20,0.0016522895997856946
2020-02-21,-0.004618991344594758
2020-02-24,-0.0281737833110548
2020-02-25,-0.04314423502578313
2020-02-26,-0.0033863942239339417
2020-02-27,-0.04685264740530626
2020-02-28,-0.01088207068330127
2020-03-02,0.042868066170364205
2020-03-03,-0.008730461155307845
2020-03-04,0.04146804736267584
2020-03-05,-0.03171229260826991
2020-03-06,-0.02601919566302302
2020-03-09,-0.09359206084616467
2020-03-10,0.04060164809426681
2020-03-11,-0.04753414385396204
2020-03-12,-0.09627788698244
2020-03-13,0.07017953231455487
2020-03-16,-0.11008403152340496
2020-03-17,0.06185085308023508
2020-03-18,-0.0639365344021543
2020-03-19,0.02552288213689846
2020-03-20,-0.035790664904863045
2020-03-23,-0.05097737386145773
2020-03-24,0.11760054706445588
2020-03-25,0.02333233340313967
2020-03-26,0.046967321697286124
2020-03-27,-0.03614964114870234
2020-03-30,0.031857093047831686
2020-03-31,-0.013794379163476922
2020-04-01,-0.04507113242088345
2020-04-02,0.015112775608594253
2020-04-03,-0.02404958063813656
2020-04-06,0.07439558568173177
2020-04-07,0.02664953395574199
2020-04-08,0.048936045945682904
2020-04-09,0.04300184247117489
2020-04-13,-0.021975532584430413
2020-04-14,0.012924872375697172
2020-04-15,-0.04593656108329636
2020-04-16,-0.005761238311578043
2020-04-17,0.0401490976894614
2020-04-20,-0.02467164481922468
2020-04-21,-0.02468373931866763
2020-04-22,0.019661024734375365
2020-04-23,0.006974275201540037
2020-04-24,0.015685563942432035
2020-04-27,0.02667470503345104
2020-04-28,0.018558216054089804
2020-04-29,0.02550834587223494
2020-04-30,-0.029736350254391364
2020-05-01,-0.02101005609873241
2020-05-04,0.0035440757499580755
2020-05-05,0.002550287881185387
2020-05-06,-0.0172210202219768
2020-05-07,0.020509881807460717
2020-05-08,0.023999994685306225
2020-05-11,-0.015243981556870567
2020-05-12,-0.015286514891846958
2020-05-13,-0.02102547398096344
2020-05-14,0.012243890633613308
2020-05-15,0.008725159419316286
2020-05-18,0.04560638893032509
2020-05-19,-0.009588313194120346
2020-05-20,0.01594527232757814
2020-05-21,-0.009529113882982054
2020-05-22,-0.0015091170031731327
2020-05-26,0.027394438342050353
2020-05-27,0.010114238814994847
2020-05-28,0.009284510155371128
2020-05-29,0.00018024658623483347
2020-06-01,0.006853355071595679
2020-06-02,0.01809046168468198
2020-06-03,0.022695202310589302
2020-06-04,0.003612433166032991
2020-06-05,0.025540264730046003
2020-06-08,0.0013368797565078694
2020-06-09,-0.012184925347921038
2020-06-10,-0.011321304796073073
2020-06-11,-0.0772517413324707
2020-06-12,0.019447975925389827
2020-06-15,0.010537779262053126
2020-06-16,0.02085593790200435
2020-06-17,-0.008277582296864705
2020-06-18,0.0007103760170890094
2020-06-19,-0.003016822729188351
2020-06-22,0.0037047148905842153
2020-06-23,0.0023181462075960724
2020-06-24,-0.029176450106452534
2020-06-25,0.012461229781856709
2020-06-26,-0.013755616784922986
2020-06-29,0.019453181012806686
2020-06-30,0.014401373344513635
2020-07-01,0.002129470131496003
2020-07-02,0.01877094822996561
2020-07-06,0.014253579728124466
2020-07-07,0.000342456611523545
2020-07-08,-0.014219375219400643
2020-07-09,-0.009385023948976334
2020-07-10,0.017368649490763666
2020-07-13,0.0
2020-07-14,0.02517671809932298
2020-07-15,0.016821032053449425
2020-07-16,0.003308469109565282
2020-07-17,0.008408912140434932
2020-07-20,-0.008665860414579618
2020-07-21,0.008741614021487987
2020-07-22,0.011608784341407885
2020-07-23,-0.003071015015956746
2020-07-24,-0.003404580444973271
2020-07-27,0.014478461267905862
2020-07-28,-0.02196913042362758
2020-07-29,0.008197976752551073
2020-07-30,-0.019352557835509265
2020-07-31,0.000995058959489592
2020-08-03,-0.005632875212263633
2020-08-04,0.014161678504736264
2020-08-05,0.014621388026025306
2020-08-06,-0.004209898112762511
2020-08-07,0.003414751885061351
2020-08-10,0.009723094355333473
2020-08-11,-0.0017656081780427213
2020-08-12,0.005948576281052498
2020-08-13,-0.00015971375182755043
2020-08-14,0.0011189867402201514
2020-08-17,0.004470808870116194
2020-08-18,-0.004133074086042576
2020-08-19,-0.0028732030910985085
2020-08-20,-0.00352169862181706
2020-08-21,-0.00578305952215985
2020-08-24,0.01761197239072354
2020-08-25,-0.003969672500506616
2020-08-26,0.010521238894941387
2020-08-27,-0.002681614067119309
2020-08-28,0.011863272128169733
2020-08-31,-0.015319655459438142
2020-09-01,0.028099586834420043
