Date,SPY
2020-01-03,-0.007572294066993224
2020-01-06,0.003815035604973538
2020-01-07,-0.0028114920391161258
2020-01-08,0.005329147057646422
2020-01-09,0.006780863099883128
2020-01-10,-0.0028775802465521583
2020-01-13,0.006877066698310674
2020-01-14,-0.0015242115136593348
2020-01-15,0.0022595889805312463
2020-01-16,0.008318147726620762
2020-01-17,0.0031126750020520344
2020-01-21,-0.001958078220498538
2020-01-22,0.00012067184954256405
2020-01-23,0.001146945747111161
2020-01-24,-0.008893085479144802
2020-01-27,-0.01602964788989869
2020-01-28,0.010479171602054693
2020-01-29,-0.0008256254305634148
2020-01-30,0.003245148441574308
2020-01-31,-0.018158067562984326
2020-02-03,0.0074289478689753
2020-02-04,0.015241096418078026
2020-02-05,0.011548119215193609
2020-02-06,0.003364871543128478
2020-02-07,-0.00532968920337018
2020-02-10,0.007464982530997366
2020-02-11,0.0017331626065479888
2020-02-12,0.006443174528468765
2020-02-13,-0.001067233653611721
2020-02-14,0.0016024130176699458
2020-02-18,-0.0025773056454934107
2020-02-19,0.0047813810921859545
2020-02-20,-0.00410835045636726
2020-02-21,-0.010298366248904012
2020-02-24,-0.033165573464434606
2020-02-25,-0.030301835038973546
2020-02-26,-0.0036783889049551988
2020-02-27,-0.044911659225521094
2020-02-28,-0.004201410559643404
2020-03-02,0.043306452082915836
2020-03-03,-0.028632361518008187
2020-03-04,0.04203287169104941
2020-03-05,-0.033241422056371595
2020-03-06,-0.016531478742003003
2020-03-09,-0.0780940913055218
2020-03-10,0.05174446851656378
2020-03-11,-0.048748389954884175
2020-03-12,-0.09567713008608969
2020-03-13,0.08548614404375532
2020-03-16,-0.10942354112661234
2020-03-17,0.05399210034453539
2020-03-18,-0.05063324890715093
2020-03-19,0.0021251079848165766
2020-03-20,-0.043093907854343416
2020-03-23,-0.025568420777745016
2020-03-24,0.09060343459277886
2020-03-25,0.014970140362290829
2020-03-26,0.058389489227150815
2020-03-27,-0.02978539318337947
2020-03-30,0.032475839553611996
2020-03-31,-0.01490552685825941
2020-04-01,-0.045004938156023466
2020-04-02,0.023075433961882164
2020-04-03,-0.01445408976750484
2020-04-06,0.06716615632374334
2020-04-07,0.0010194478417731023
2020-04-08,0.03356823553046229
2020-04-09,0.015217650694350437
2020-04-13,-0.009130266907178775
2020-04-14,0.02949275192237044
2020-04-15,-0.0212482134571359
2020-04-16,0.004824439325610053
2020-04-17,0.027015781264119187
2020-04-20,-0.01761817291912593
2020-04-21,-0.03036341066463688
2020-04-22,0.0221945655431659
2020-04-23,-7.191150721319595e-05
2020-04-24,0.013939061023667598
2020-04-27,0.014418450988279208
2020-04-28,-0.004598611630526883
2020-04-29,0.026178532478095207
2020-04-30,-0.00931067982260847
2020-05-01,-0.02647321637083977
2020-05-04,0.00275826405280033
2020-05-05,0.009239196675207006
2020-05-06,-0.006778616261665982
2020-05-07,0.012066755794551298
2020-05-08,0.01654619471142782
2020-05-11,0.00020532909716486358
2020-05-12,-0.019931568008551892
2020-05-13,-0.017686110998197946
2020-05-14,0.011967312852482204
2020-05-15,0.004597077748244027
2020-05-18,0.030459703911618785
2020-05-19,-0.010271359033178551
2020-05-20,0.016987894458947883
2020-05-21,-0.006903752689143894
2020-05-22,0.0018991669413079837
2020-05-26,0.012320570594142044
2020-05-27,0.014878871040659991
2020-05-28,-0.0018448270236761655
2020-05-29,0.004455685411656196
2020-06-01,0.004041727199468159
2020-06-02,0.008280493352971652
2020-06-03,0.013308101718509935
2020-06-04,-0.0026267490203223387
2020-06-05,0.025629510132212374
2020-06-08,0.012087345702366692
2020-06-09,-0.007456514898168898
2020-06-10,-0.005579782670125044
2020-06-11,-0.057649169729640404
2020-06-12,0.011975585640234598
2020-06-15,0.009335685457727338
2020-06-16,0.019247582011221454
2020-06-17,-0.004153761316309845
2020-06-18,0.0003850152692712605
2020-06-19,-0.005714985115119697
2020-06-22,0.0064151861994909964
2020-06-23,0.0046038095516218736
2020-06-24,-0.02550871827419321
2020-06-25,0.010720567480747123
2020-06-26,-0.02375156831568692
2020-06-29,0.014697663984731602
2020-06-30,0.012809407944592177
2020-07-01,0.007005088932142911
2020-07-02,0.005506747109402355
2020-07-06,0.015437248173014284
2020-07-07,-0.010313755056247542
2020-07-08,0.0076484971826922266
2020-07-09,-0.005692987203980149
2020-07-10,0.01021066460899167
2020-07-13,-0.008658762626176375
2020-07-14,0.01295893893285327
2020-07-15,0.009187182361071633
2020-07-16,-0.003293447813628392
2020-07-17,0.0028989219329902394
2020-07-20,0.008081770836525726
2020-07-21,0.0021274976486964636
2020-07-22,0.005691923035112456
2020-07-23,-0.011931470138595301
2020-07-24,-0.00644061176703814
2020-07-27,0.0072923373356159615
2020-07-28,-0.0063422909180871345
2020-07-29,0.012298807030556302
2020-07-30,-0.003567835939795816
2020-07-31,0.007902219919961206
2020-08-03,0.00695228090073452
2020-08-04,0.0038622786484403537
2020-08-05,0.006211353918421647
2020-08-06,0.006684344462691838
2020-08-07,0.0007176210371098168
2020-08-10,0.0029889585257076856
2020-08-11,-0.008254468779195556
2020-08-12,0.01394239965901467
2020-08-13,-0.0018080033489407121
2020-08-14,2.9857841547409336e-05
2020-08-17,0.0031766428884354436
2020-08-18,0.002160303234171712
2020-08-19,-0.004163772057985682
2020-08-20,0.0031135193420823715
2020-08-21,0.0035476658515569692
2020-08-24,0.010133119725268092
2020-08-25,0.003499374392902377
2020-08-26,0.010025426973641949
2020-08-27,0.002186500357860499
2020-08-28,0.006459517269945536
2020-08-31,-0.0036227852228536417
