Date,EEM,EWC,EWJ,IEUR,SPLG,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-01-03,-0.018567185597552327,-0.00500335995392065,-0.011025840867657899,-0.01134545002966425,-0.006292697659202928,-0.01614498612564519,-0.006450432669442119,-0.002971346836261768,-0.010617793104693796,-0.001927430583896217,-0.011243244635967153,-0.0016007807259211804,0.007326271833986153,0.002037286596519472,-0.008714436589846941,-0.008509937334492013
2020-01-06,-0.002448031313082133,0.005028519446748092,0.0035473215445778195,0.0018117148849776665,0.003166218270217014,-0.0043537162946944985,0.013355634445878284,0.007781365244800664,-0.000650483942629676,0.0003620911400179505,0.0023824302630142125,0.0020841879338457936,0.000259747427120649,0.0009385667052765889,0.006222890768790235,0.0027815748947832564
2020-01-07,-0.0006692571954252102,0.0010006291342290474,0.0016832230477601406,-0.004019024026630347,-0.0026300596433931345,-0.0011772937864265032,0.001281540674555437,-0.002628525320433117,-0.006508312421689477,-0.0020513092051540616,-0.00043206081918933936,-0.007678726043287565,-0.01090625912703147,-0.0014064942524142365,-0.001963242150893607,-0.0015850714740116567
2020-01-08,0.005804880602765516,-0.0009996288764517747,0.0001680535671804151,0.00181582695623006,0.005274209917685457,0.003536116461430705,0.007129853296411914,-0.016471779905102846,0.006550948038180238,0.0033855419990989066,0.010700598245903636,0.0037079834126809708,0.004988020323158704,-0.00046932499816332296,0.0064914186722151435,0.0030162325153606506
2020-01-09,0.006659070138417267,0.0016676914145177246,0.007056358460808987,0.0012084781963657143,0.00734535071309339,0.003691220216807789,0.0052637575198102304,0.007368995744569062,0.00618299712114645,0.0042172700386930995,0.0113356037249428,0.007067154429838851,-0.00026111960460406536,0.0054791732998500375,0.0042996194813444966,0.005302181930776584
2020-01-10,0.005292243501161975,-0.0006659516783922292,-0.0070069151557654585,-0.004626938463405228,-0.0028647286335192756,-0.004012041711539904,-0.003972374000659751,-0.00565241553806195,-0.007438680105125273,-0.007079257211605183,-0.002326166407873864,-0.0006380372231312714,0.009668354248876243,0.0026466844444443804,0.00029218035127454023,-0.0054315942274261175
2020-01-13,0.01557364300115438,0.0053316632179030155,0.00571243797981924,0.004042040280098469,0.007573531307755621,0.012923716183764755,0.00942721849619943,0.00033424611367594004,0.006842742317623385,0.008217316401294639,0.012506442752862501,0.006543065515417501,0.012163117763249076,0.006055865368664426,-0.0035019642513821614,0.003165874690418624
2020-01-14,-0.005615471335493338,0.00066286131229365,0.00033414189499691993,0.0008054076645844788,-0.0018139840798304663,-0.004142289331693472,-0.0025143852019607893,0.00016706721527048884,-0.0019418410954454846,0.00011985797733138348,-0.004710699524522077,0.00031721752461844055,-0.0048582279674017625,0.002932442163804838,0.006052423886877767,-0.00031560100519234524
2020-01-15,-0.00781939164349399,0.005299803330326203,-0.0036740526343097546,0.0010054960468319774,0.0020770157437792758,0.006821871077215658,0.004861565849824556,-0.007352824401779756,-0.005512426813502946,0.0015581677136087269,0.0011573086967204826,0.007132634208540489,0.0069376202832585054,0.014004299801879672,0.008635554734991224,-0.002288481677943266
2020-01-16,0.006348627883265401,0.005271792933834618,0.0006703833556889194,0.004420372607258027,0.008810639742154791,0.005949367151345308,0.007704305388314792,0.001683504584122586,0.008803608733676693,0.009931645091630914,0.013446471697798446,0.0026756010256039353,0.008930743482155501,0.006222403439027913,0.005195115394842853,0.008938841305747403
2020-01-17,0.005655782015220545,0.002294336192228741,0.0006698639160025444,0.005000958132970856,0.002568795401358681,0.004435460172746319,0.007823689352600915,-0.006386713042019543,0.002908789753803598,0.00011857969115891542,0.006737959786915493,0.0017263687433932695,0.0012646942140881468,0.006938280142309461,0.0,0.0035282717401510233
2020-01-21,-0.025308115459114044,0.00032702204135559576,-0.005356448467200181,-0.0071655379420518805,-0.001793816360851852,-0.010794669474124441,-0.0008821668325882381,-0.017929552931749804,-0.00837902662966894,-0.011017376463045347,-0.00041177450448526276,0.0034473432638659762,0.010103607537885306,0.009137261086251236,0.0010526242421469156,-0.0030469634830341263
2020-01-22,0.008211064925889744,-0.00523043211670271,0.004544036561441089,-0.0008020877598786669,0.0,-0.003968188751388824,-0.0005297532155280615,-0.009645262315846725,0.0029249989151827194,-0.005270991568419925,0.0036049655709387007,0.0007807198503080315,-0.008002336907381724,0.0031171590936902582,0.001242789675073963,-0.0004703364215219441
2020-01-23,-0.010345662802732858,0.003943467628070074,0.0011725461026206307,-0.001805626067802657,0.0017970399204623178,-0.0011621209176146952,-0.0040636177457690215,-0.003825941527849097,-0.0025923167059093144,0.010838080914763015,0.0047214933858095165,-0.0009362298881577802,0.009579294657916071,0.008878309715491639,-0.0050606655606892925,0.0014898585913334372
2020-01-24,-0.00800693921357809,-0.004582664102315004,-0.0038486411900858775,-0.0034171689907499525,-0.009479710000755648,-0.007146458538385914,-0.01206314780845319,-0.011522502304253668,-0.012670691803498557,-0.00464605994840106,-0.0046993056452874216,-0.006871865640318386,-0.0014980534762072395,0.002640060399361932,-0.016698865924155593,-0.013935702603596667
2020-01-27,-0.03452928807033129,-0.01249602492670232,-0.017974139587828786,-0.020572861828765943,-0.015778922456998523,-0.02159355062141266,-0.015622010439847012,-0.027728657901523124,-0.01546556737058491,-0.018910859131606284,-0.02381179358299057,-0.0031450490509868922,-0.004251295625252061,-0.0024868509925254356,-0.00761215634488388,-0.014926538663263544
2020-01-28,0.008360340677548761,0.007659193042555579,0.008895025072962248,0.00844314136102331,0.01024961764840171,0.011291682282469573,0.011492198667449438,0.004541378573719612,0.011697832937720865,0.006465720483438853,0.019135570349357423,0.00126218462796035,0.0025116027649438877,0.00410616592023616,0.004917069273582042,0.009752605905523959
2020-01-29,0.0048366455030453,-0.00528747220020398,-0.003221496977074856,0.001837888901295992,-0.0007804079774796913,0.0032143086493003903,-0.0016231520680332068,-0.01048815866273578,-0.0016519269929604619,0.005333301660605194,0.002579173740934637,-0.005041814835225589,-0.00526066590901042,0.002628945402654237,-0.0027401675281423232,-0.0005588340829669747
2020-01-30,-0.014897943392953694,0.0016610425895076109,-0.001360750982570158,0.0004078849049689026,0.0033844814286816405,-0.006239463892049546,-0.01011574973908902,0.008040984761459313,0.012574546428247624,0.001084892757280631,0.008643908363841879,0.011876334688541546,0.0022663780535878697,0.009322756059595205,-0.007262045582009824,-0.001677055542189665
