Date,IEUR
2020-01-03,-0.01134545002966425
2020-01-06,0.0018118964013471572
2020-01-07,-0.004019476268619981
2020-01-08,0.001816100330674697
2020-01-09,0.0012083874016102225
2020-01-10,-0.004626848197827216
2020-01-13,0.004042131386808201
2020-01-14,0.0008051353717211107
2020-01-15,0.0010054962291625724
2020-01-16,0.0044205545597244544
2020-01-17,0.005000958132970856
2020-01-21,-0.0071655379420518805
2020-01-22,-0.0008019070077074364
2020-01-23,-0.0018058066384039062
2020-01-24,-0.0034171689907499525
2020-01-27,-0.020572861828765943
2020-01-28,0.00844323419380344
2020-01-29,0.001837888732107995
2020-01-30,0.0004077010941772041
2020-01-31,-0.015077506955281428
2020-02-03,-0.001861841390510599
2020-02-04,0.016580415928186598
2020-02-05,0.011824639007127713
2020-02-06,0.001208874294512885
2020-02-07,-0.010263523765674964
2020-02-10,0.0038632971917467174
2020-02-11,0.007697041748617073
2020-02-12,0.00502499266946943
2020-02-13,-0.00559996797545359
2020-02-14,0.0
2020-02-18,-0.004625826655714094
2020-02-19,0.005253608007024679
2020-02-20,-0.0046230367497894775
2020-02-21,-0.0036351335309844357
2020-02-24,-0.04296714397075441
2020-02-25,-0.021812816563172244
2020-02-26,0.0015154709202913619
2020-02-27,-0.03220920832193186
2020-02-28,-0.00714758820628314
2020-03-02,0.02024748241363361
2020-03-03,-0.009481824225565316
2020-03-04,0.03450596145534024
2020-03-05,-0.03249426319320048
2020-03-06,-0.014457255097774402
2020-03-09,-0.08688804399833516
2020-03-10,0.036332311781509086
2020-03-11,-0.058192139291982636
2020-03-12,-0.11496586610527026
2020-03-13,0.06552225971188008
2020-03-16,-0.11654134200643418
2020-03-17,0.030395155519458372
2020-03-18,-0.06253696376977091
2020-03-19,0.018565119839313526
2020-03-20,-0.012974902487691842
2020-03-23,-0.006572731798002773
2020-03-24,0.0910521838179319
2020-03-25,0.03609596109330071
2020-03-26,0.04933124712480952
2020-03-27,-0.03240408120527849
2020-03-30,0.014548597619678194
2020-03-31,0.00324704826822253
2020-04-01,-0.04476841579424262
2020-04-02,0.018069130750886453
2020-04-03,-0.020244061098470545
2020-04-06,0.050948231264042354
2020-04-07,0.005924936837885975
2020-04-08,0.014457878003744984
2020-04-09,0.025336660347908824
2020-04-13,-0.01287025166014144
2020-04-14,0.01590622220728055
2020-04-15,-0.03978465236469442
2020-04-16,0.0029406581369686435
2020-04-17,0.03224957275308493
2020-04-20,-0.01265161693498118
2020-04-21,-0.019874746176811287
2020-04-22,0.01280679205723434
2020-04-23,-0.005268648775749174
2020-04-24,0.012447210398345065
2020-04-27,0.014386556730478617
2020-04-28,0.005930791315424511
2020-04-29,0.029735894338321467
2020-04-30,-0.017674749946806734
2020-05-01,-0.021794373527287525
2020-05-04,-0.0018133445199262077
2020-05-05,-0.0007786263043014774
2020-05-06,-0.008051918581798212
2020-05-07,0.01649636990623593
2020-05-08,0.019320011045779406
2020-05-11,-0.005306906383336973
2020-05-12,-0.01194093749055114
2020-05-13,-0.014399617942115195
2020-05-14,-0.008870669925224117
2020-05-15,0.0015792693165024296
2020-05-18,0.04546701760438565
2020-05-19,-0.013826331870494424
2020-05-20,0.02192192140430471
2020-05-21,-0.007981978955057367
2020-05-22,-0.0005029373148769389
2020-05-26,0.02591186671952972
2020-05-27,0.013732476106042002
2020-05-28,0.009675755173112144
2020-05-29,0.0004792002054609945
2020-06-01,0.02250946309836932
2020-06-02,0.010773073945111067
2020-06-03,0.028961755254602428
2020-06-04,-0.0018011537981719172
2020-06-05,0.01759507262715143
2020-06-08,0.011970926806961435
2020-06-09,-0.017305526254096426
2020-06-10,-0.002897916038816728
2020-06-11,-0.05991513588729236
2020-06-12,0.018549314071929723
2020-06-15,0.009352515789698534
2020-06-16,0.011259635336639429
2020-06-17,0.0018555737692915741
2020-06-18,-0.006945796765764345
2020-06-19,-0.004196896454512267
2020-06-22,0.01123844132497398
2020-06-23,0.007640644047574474
2020-06-24,-0.026424511689892127
2020-06-25,0.013688838360851996
2020-06-26,-0.015134009500285428
2020-06-29,0.008983780621974802
2020-06-30,0.0018743726616561318
2020-07-01,0.006548134825853813
2020-07-02,0.008132048730941754
2020-07-06,0.018206812415010765
2020-07-07,-0.016070618231505573
2020-07-08,0.012192405769547054
2020-07-09,-0.014318420685997868
2020-07-10,0.01060658784917834
2020-07-13,-0.00616018051525713
2020-07-14,0.016069842774362186
2020-07-15,0.012426647216739806
2020-07-16,-0.003124530950822213
2020-07-17,0.007387595077869014
2020-07-20,0.0073333199644016744
2020-07-21,0.0022059959941975738
2020-07-22,0.006603420862622
2020-07-23,-0.009402861112288385
2020-07-24,-0.008388532842338092
2020-07-27,0.0117989394531961
2020-07-28,-0.004840670237017952
2020-07-29,0.013044300418527888
2020-07-30,-0.013967588829576827
2020-07-31,-0.021248267323030756
2020-08-03,0.020126548277216827
2020-08-04,0.0035468076218523326
2020-08-05,0.005301506553260671
2020-08-06,0.001318753493216862
2020-08-07,-0.0030724210894744752
2020-08-10,0.0002201629538549632
2020-08-11,0.003521244912787269
2020-08-12,0.02236831599929312
2020-08-13,-0.004933634647291019
2020-08-14,-0.010131224103815617
2020-08-17,0.00892842189779941
2020-08-18,-0.00021579013876482644
2020-08-19,-0.0062608002330921675
2020-08-20,-0.001520568917794396
2020-08-21,-0.007180238732588662
2020-08-24,0.014025744162321052
2020-08-25,0.0015127779102528383
2020-08-26,0.009279372304164424
2020-08-27,-0.012401217966411249
2020-08-28,0.0075776641523275234
2020-08-31,-0.006661122894651372
2020-09-01,-0.0030283659055270196
